question,answer
(3 + 2) × (4 - 1) = ?,15
5^2 - 3^2 = ?,16
| -7 | + 3 = ?,10
(6 + 4) ÷ 2 = ?,5
(12 ÷ 3) + 1 = ?,5
8 - 3 × 2 + 1 = ?,3
"C(9, 4) = ?",126
5 × 5 - (2^3) = ?,17
2^5 + 2^2 = ?,36
(4 + 5) × 2 = ?,18
9 - (3 + 4) = ?,2
(8 ÷ 2) × (3 - 1) = ?,8
(2^3) × (3^2) = ?,72
6! ÷ (4! × 2!) = ?,15
3 × (2 + 4) - 5 = ?,13
"C(7, 2) = ?",21
(5^3) - 27 = ?,98
"C(5, 0) = ?",1
(2 + 2)² = ?,16
(6 - 2) × (5 + 1) = ?,24
7 + 3 × 2 - 4 = ?,9
"C(10, 2) = ?",45
2^4 - 2^2 = ?,12
(10 - 2) ÷ 4 = ?,2
"C(6, 1) + C(6, 0) = ?",7
3 × (3 + 3) = ?,18
(15 - 5) ÷ 2 = ?,5
"C(8, 5) = ?",56
(4 + 4 + 4) ÷ 4 = ?,3
5! - 3! = ?,114
(3 + 5) × 2 = ?,16
(4^2) + (2^3) = ?,24
10 - (3 + 1) × 2 = ?,4
7 × 3 - (5 + 1) = ?,16
(9 ÷ 3) + 5 = ?,8
"C(12, 6) = ?",924
3 + 3 × (4 - 1) = ?,12
"C(8, 3) + C(8, 2) = ?",80
| 5 - 10 | + 2 = ?,7
(7 + 2) × 2 - 1 = ?,15
(3 + 4)² = ?,49
(20 ÷ 4) × 3 = ?,15
(8 - 3) × (5 + 1) = ?,30
